Elemental Combat I <E>/Elemental Resistance <E>,Elemental Combat I <E>+Elemental Resistance <E>,Elemental Combat II <E>+Elemental Resistance <E>
sense,sense+sense+sense/Sensibility,Clairvoyance
Strength I,Strength II,Strength III
Wound Regeneration I/Energy Regeneration I,Wound Regeneration II/Energy Regeneration II/Wound Regeneration I+Energy Regeneration I,Body Regeneration
Flight I,Flight II,Telekinetic Flight
Precision I/Evasion I,Precision II/Evasion II/Precision I+Evasion I,Precision III/Evasion III/Dexterousness
Toughness I/Elemental Armor I <Energy>,Toughness II/Elemental Armor II <Energy>,Toughness III/Elemental Armor III <Energy>
Leg Muscles/Charge/Evasion I,Leg Muscles+Charge/Leg Muscles+Evasion I/Leg Muscles+Elastic/Speedrun,Charge+Speedrun+Evasion I/Charge+Leg Muscles+Evasion II/Elastic+Speedrun+Evasion I/Elastic+Leg Muscles+Evasion II
Blink/Teleport I,Teleport II/Portals/Teleport Other/Blink+Teleport I,Teleport III/Portals+Blink+Teleport Other
Ghost Mode I/Ghost Weapons I/Ghost Evasion,Ghost Mode II/Ghost Weapons II/Ghost Mode I+Ghost Weapons I/Ghost Evasion+Ghost Mode I/Ghost Evasion+Ghost Weapons I,Ghost Evasion+Ghost Mode II/Ghost Evasion+Ghost Weapons II
Protective Bubble I/Force Shield,ff,ff+ff/Force Field Fanatic
t1,t1+t2,t3+t2/t3+t1+t1
l1,l2,l3
Nullification Aura I/Nullify/Wild Power,Nullification Aura II/Nullify+Copy State/Power Resistance+Wild Power,Steal Power/Instability
Copy State/Vampiric Fists/Energy Theft Aura,Copy Power/Copy State+Energy Theft Aura,Steal Power
Distraction/Blind,Stunning Shout/Scream/Force Shout,Flashbang
Clone I,Clone II/Mini-Clones I/Avatar I,Clone III/Avatar II/Mini-Clones II
Self-Bomb/Exploding Ball <Fire>,Implode Defenses+Self-Bomb/Ranged Explosion/Exploding Fists,Spontaneous Explosions Aura+Self-Bomb/Recurring Explosion
Twitch/Mind Twitch+Divert Attention,Possess/Command/Twitch+Mind Twitch+Divert Attention,Chaos Circle+Twitch/Fear Aura+Mind Twitch/Possess+Command
Reshape I <Earth>/Earth Weapon,Reshape II <Earth>+Earth Weapon,Reshape III <Earth>+Earth Weapon
Heal I/buff+buff,Heal II+buff/Heal I+buff+buff,Heal II+buff+buff+buff/Restoration Blast
charge 1-3 shouldn't happen,charge 4-6 shouldn't happen,Instability
